dataset,method,time,accuracy,random_state,iters,product
banknote,IWLS,0.0009802499989746138,0.8672775431312191,420,5,True
banknote,SGD,0.10347216600348474,0.8476149569284368,420,8,True
banknote,ADAM,0.18081904199789278,0.8640203307323359,420,10,True
banknote,LDA,0.0006664579996140674,0.8639964683704393,420,-1,True
banknote,QDA,0.0002729170009843074,0.8699739900255328,420,-1,True
banknote,DecisionTree,0.8327525419954327,0.9508435344930442,420,-1,True
banknote,RandomForest,0.49262925000221003,0.9546734435774453,420,-1,True
banknote,IWLS,0.0019061660059378482,0.8525306034791325,69,9,True
banknote,SGD,0.12553362500329968,0.8503591285465435,69,8,True
banknote,ADAM,0.23229445800097892,0.8673014054931156,69,11,True
banknote,LDA,0.0007428750031976961,0.865094137017682,69,-1,True
banknote,QDA,0.0002769999991869554,0.8585081251342257,69,-1,True
banknote,DecisionTree,0.017473624997364823,0.9475743909132126,69,-1,True
banknote,RandomForest,0.4617243340035202,0.9513923688166654,69,-1,True
banknote,IWLS,0.0008066660011536442,0.8722170520438113,42,7,True
banknote,SGD,0.06896208399848547,0.8749492924809698,42,5,True
banknote,ADAM,0.20343954100098927,0.8765957954518339,42,11,True
banknote,LDA,0.000804000002972316,0.8776696017371799,42,-1,True
banknote,QDA,0.0002863750050892122,0.8973083255780657,42,-1,True
banknote,DecisionTree,0.027667957998346537,0.929009473357673,42,-1,True
banknote,RandomForest,0.5407675000024028,0.9656024053260792,42,-1,True
banknote,IWLS,0.0009075839989236556,0.8640083995513876,24,7,True
banknote,SGD,0.23199237499648007,0.8640083995513876,24,16,True
banknote,ADAM,0.3732808339991607,0.8531033001646503,24,20,True
banknote,LDA,0.0006059590014046989,0.8678263774548405,24,-1,True
banknote,QDA,0.00036354100302560255,0.8705347555301024,24,-1,True
banknote,DecisionTree,0.022495417004392948,0.9497577970267497,24,-1,True
banknote,RandomForest,0.5160045829979936,0.9595890901281409,24,-1,True
banknote,IWLS,0.0007157090003602207,0.8798530078507171,96,6,True
banknote,SGD,0.11763941700337455,0.8776696017371799,96,9,True
banknote,ADAM,0.27019016700069187,0.8683990741403584,96,14,True
banknote,LDA,0.0006817499961471185,0.878206504879853,96,-1,True
banknote,QDA,0.0002745000019785948,0.8972963943971175,96,-1,True
banknote,DecisionTree,0.023150958004407585,0.9519531343212351,96,-1,True
banknote,RandomForest,0.5463563339944812,0.9677858114396163,96,-1,True
banknote,IWLS,0.0009664169992902316,0.8487006943947313,1312,9,True
banknote,SGD,0.10663462500087917,0.8350514233898871,1312,8,True
banknote,ADAM,0.1870212089997949,0.8481876536139548,1312,10,True
banknote,LDA,0.0006011250006849878,0.8339656859235927,1312,-1,True
banknote,QDA,0.0002604159963084385,0.843761185482139,1312,-1,True
banknote,DecisionTree,0.020614291999663692,0.933901257546472,1312,-1,True
banknote,RandomForest,0.5200033750006696,0.9563080153673611,1312,-1,True
banknote,IWLS,0.0007167079966166057,0.8645572338750089,777,5,True
banknote,SGD,0.12887733300158288,0.866740639988546,777,10,True
banknote,ADAM,0.253906541998731,0.8487364879375761,777,14,True
banknote,LDA,0.0006304160051513463,0.8683752117784618,777,-1,True
banknote,QDA,0.00026383299700682983,0.8606915312477629,777,-1,True
banknote,DecisionTree,0.019726291997358203,0.9535877061111508,777,-1,True
banknote,RandomForest,0.4529814580018865,0.9453909847996754,777,-1,True
